Team,Player,PPG,RPG,APG,PIE,Arena,Location,Home Minimum,Home Maximum,Away Minimum,Away Maximum,County,County GDP (Billions),County Income Per Capita,Views
Atlanta Hawks,Trae Young,26.4,2.7,10.8,13.2,State Farm Arena,"Atlanta, Georgia",25.38,474.88,44.17,3449.67,"Fulton, GA",218.420809,100614.0,3711104
Boston Celtics,Jayson Tatum,27.1,8.3,4.9,15.6,TD Garden,"Boston, Massachusetts",122.0,1832.38,41.71,2038.55,"Suffolk, MA",172.788502,96933.0,169925
Brooklyn Nets,Cam Thomas,21.5,3.1,2.8,10.2,Barclays Center,"Brooklyn, New York",70.57,5328.57,69.5,2608.38,"Kings, CA",8.145669,42525.0,2858438
Charlotte Hornets,Lamelo Ball,23.9,5.1,8.0,13.3,Spectrum Center,"Charlotte, North Carolina",33.38,706.88,41.3,984.8,"Mecklenburg, NC",151.903885,76441.0,37751761
Chicago Bulls,Demar Derozan,23.2,4.3,5.3,12.7,United Center,"Chicago, Illinois",51.12,696.12,81.0,3536.77,"Cook, IL",485.546712,72847.0,2405642
Dallas Mavericks,Kyrie Irving,25.4,5.1,5.3,14.5,American Airlines Center,"Dallas, Texas",55.67,4941.67,46.21,1348.43,"Dallas, TX",345.175101,75585.0,265568
Denver Nuggets,Nikola Jokic,25.9,12.2,9.1,21.1,Ball Arena,"Denver, Colorado",59.75,4745.62,39.5,3117.25,"Denver, CO",111.283962,112290.0,633155
Detroit Pistons,Cade Cunningham,22.2,4.3,7.6,12.3,Little Caesars Arena,"Detroit, Michigan",27.0,3495.85,51.17,2230.33,"Monroe, MI",7.11888,52998.0,461801
Golden State Warriors,Stephen Curry,27.0,4.4,4.9,13.8,Chase Center,"San Francisco, California",97.86,1414.29,108.81,4872.56,"San Francisco, CA",252.186339,155819.0,5128658
Indiana Pacers,Tyrese Haliburton,20.5,3.9,11.2,15.9,Gainbridge Fieldhouse,"Indianapolis, Indiana",30.14,1024.57,48.83,2757.31,"Marion, IN",120.234737,66500.0,1594517
Los Angeles Lakers,Lebron James,25.5,7.2,8.1,16.5,Crypto.com Arena,"Los Angeles, California",87.14,5857.14,97.71,3348.71,"Los Angeles, CA",913.292121,74142.0,48486472
Memphis Grizzlies,Ja Morant,25.1,5.6,8.1,15.7,FedExForum,"Memphis, Tennessee",51.71,457.43,40.29,2679.05,"Shelby, TN",80.356234,58736.0,27501595
Miami Heat,Jimmy Butler,21.4,5.5,4.8,14.6,Kaseya Center,"Miami, Florida",43.89,955.56,25.0,1134.57,"Miami-Dade, FL",219.476269,68481.0,1764323
Milwaukee Bucks,Giannis Antetokounmpo,30.8,11.2,6.4,19.8,Fiserv Forum,"Milwaukee, Wisconsin",39.78,2964.0,70.9,1745.2,"Milwaukee, WI",69.337593,56188.0,2415687
New York Knicks,Jalen Brunson,27.5,3.6,6.4,15.0,Madison Square Garden,"New York City, New York",199.83,4934.33,58.55,1976.85,"Kings, NY",125.866867,60153.0,141839
Oklahoma City Thunder,Shai Gilgeous Alexander,30.9,5.7,6.3,19.1,Paycom Center,"Oklahoma City, Oklahoma",24.57,2052.0,66.0,2025.88,"Oklahoma, OK",64.920764,68047.0,191837
Orlando Magic,Paolo Banchero,22.8,6.8,5.3,13.6,Kia Center,"Orlando, Florida",51.55,2370.5,28.5,1145.67,"Orange, FL",134.442304,55374.0,431683
Philadelphia 76ers,Joel Embiid,35.3,11.3,5.7,22.6,Wells Fargo Center,"Philadelphia, Pennsylvania",50.43,769.71,44.29,2822.57,"Philadelphia, PA",123.064986,56764.0,1398737
Phoenix Suns,Devin Booker,27.2,4.7,6.9,14.4,Footprint Center,"Phoenix, Arizona",52.33,4013.33,46.0,3331.0,"Maricopa, AZ",350.168218,63461.0,670832
Portland Trail Blazers,Anfernee Simons,23.1,3.7,5.6,11.1,Moda Center,"Portland, Oregon",23.0,3500.0,34.31,826.88,"Multnomah, OR",83.545744,69954.0,261900
Sacramento Kings,Deaaron Fox,26.8,4.3,5.7,12.4,Golden 1 Center,"Sacramento, California",35.9,383.2,65.93,2907.36,"Sacramento, CA",116.260531,61558.0,1349984
San Antonio Spurs,Victor Wembanyama,20.8,10.4,3.5,16.0,Frost Bank Center,"San Antonio, Texas",41.56,3356.44,33.0,1741.0,"Bexar, TX",133.284271,52583.0,325979
Washington Wizards,Kyle Kuzma,22.4,6.5,4.2,11.5,Capital One Arena,"Washington, D.C.",29.27,888.0,55.38,1481.88,"District of Columbia, DC",165.060542,95970.0,2227602
