name,date,time,venue,minPrice,maxPrice,home,away
Minnesota Timberwolves vs. Phoenix Suns,2024-04-14,14:30:00,Target Center,,,Minnesota Timberwolves,Phoenix Suns
Minnesota Timberwolves vs. Washington Wizards,2024-04-09,19:00:00,Target Center,,,Minnesota Timberwolves,Washington Wizards
Minnesota Timberwolves vs. Toronto Raptors,2024-04-03,19:00:00,Target Center,,,Minnesota Timberwolves,Toronto Raptors
Minnesota Timberwolves vs. Cleveland Cavaliers,2024-03-22,19:00:00,Target Center,,,Minnesota Timberwolves,Cleveland Cavaliers
Minnesota Timberwolves vs. Detroit Pistons,2024-03-27,19:00:00,Target Center,,,Minnesota Timberwolves,Detroit Pistons
Minnesota Timberwolves vs. Chicago Bulls,2024-03-31,18:00:00,Target Center,,,Minnesota Timberwolves,Chicago Bulls
Minnesota Timberwolves vs. Houston Rockets,2024-04-02,19:00:00,Target Center,,,Minnesota Timberwolves,Houston Rockets
Minnesota Timberwolves vs. Denver Nuggets,2024-03-19,20:00:00,Target Center,,,Minnesota Timberwolves,Denver Nuggets
Minnesota Timberwolves vs. Golden State Warriors,2024-03-24,18:00:00,Target Center,,,Minnesota Timberwolves,Golden State Warriors
Minnesota Timberwolves vs. Atlanta Hawks,2024-04-12,19:00:00,Target Center,,,Minnesota Timberwolves,Atlanta Hawks
